"Name","SID","PrincipalSource","ObjectClass"
"DESKTOP-PHS6MQO\Administrator","S-1-5-21-1760974914-2075844823-2079291112-500","Local","User"
"DESKTOP-PHS6MQO\champuser","S-1-5-21-1760974914-2075844823-2079291112-1002","Local","User"
