"PSComputerName","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","ArpAlwaysSourceRoute","ArpUseEtherSNAP","Caption","DatabasePath","DeadGWDetectEnabled","DefaultIPGateway","DefaultTOS","DefaultTTL","Description","DHCPEnabled","DHCPLeaseExpires","DHCPLeaseObtained","DHCPServer","DNSDomain","DNSDomainSuffixSearchOrder","DNSEnabledForWINSResolution","DNSHostName","DNSServerSearchOrder","DomainDNSRegistrationEnabled","ForwardBufferMemory","FullDNSRegistrationEnabled","GatewayCostMetric","IGMPLevel","Index","InterfaceIndex","IPAddress","IPConnectionMetric","IPEnabled","IPFilterSecurityEnabled","IPPortSecurityEnabled","IPSecPermitIPProtocols","IPSecPermitTCPPorts","IPSecPermitUDPPorts","IPSubnet","IPUseZeroBroadcast","IPXAddress","IPXEnabled","IPXFrameType","IPXMediaType","IPXNetworkNumber","IPXVirtualNetNumber","KeepAliveInterval","KeepAliveTime","MACAddress","MTU","NumForwardPackets","PMTUBHDetectEnabled","PMTUDiscoveryEnabled","ServiceName","SettingID","TcpipNetbiosOptions","TcpMaxConnectRetransmissions","TcpMaxDataRetransmissions","TcpNumConnections","TcpUseRFC1122UrgentPointer","TcpWindowSize","WINSEnableLMHostsLookup","WINSHostLookupFile","WINSPrimaryServer","WINSScopeID","WINSSecondaryServer"
"DESKTOP-PHS6MQO","2","Win32_NetworkAdapterConfiguration","CIM_Setting","CIM_Setting","Win32_NetworkAdapterConfiguration.Index=0","61","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_NetworkAdapterConfiguration.Index=0",,,"[00000000] Microsoft Kernel Debug Network Adapter",,,,,,"Microsoft Kernel Debug Network Adapter","True",,,,,,,,,,,,,,"0","3",,,"False",,,,,,,,,,,,,,,,,,,,,"kdnic","{248AAC08-7C1B-499A-8709-BE7327CB3EB9}",,,,,,,,,,,
"DESKTOP-PHS6MQO","2","Win32_NetworkAdapterConfiguration","CIM_Setting","CIM_Setting","Win32_NetworkAdapterConfiguration.Index=1","61","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_NetworkAdapterConfiguration.Index=1",,,"[00000001] Intel(R) PRO/1000 MT Desktop Adapter","%SystemRoot%\System32\drivers\etc",,"System.String[]",,,"Intel(R) PRO/1000 MT Desktop Adapter","True","20231126043629.000000-300","20231125163629.000000-300","192.168.40.1","lan","System.String[]","False","DESKTOP-PHS6MQO","System.String[]","False",,"True","System.UInt16[]",,"1","6","System.String[]","25","True","False",,"System.String[]","System.String[]","System.String[]","System.String[]",,,,,,,,,,"08:00:27:FF:59:AE",,,,,"E1G60","{A98F5C7D-5F8E-4930-8E0E-0AA5FC0E694F}","0",,,,,,"True",,,"",
