"PSComputerName","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","AcceptPause","AcceptStop","Caption","CheckPoint","CreationClassName","DelayedAutoStart","Description","DesktopInteract","DisplayName","ErrorControl","ExitCode","InstallDate","Name","PathName","ProcessId","ServiceSpecificExitCode","ServiceType","Started","StartMode","StartName","State","Status","SystemCreationClassName","SystemName","TagId","WaitHint"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""RpcSs""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""RpcSs""","False","False","Remote Procedure Call (RPC)","0","Win32_Service","False","The RPCSS service is the Service Control Manager for COM and DCOM servers. It performs object activations requests, object exporter resolutions and distributed garbage collection for COM and DCOM servers. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the RPCSS service running.","False","Remote Procedure Call (RPC)","Normal","0",,"RpcSs","C:\Windows\system32\svchost.exe -k rpcss -p","868","0","Share Process","True","Auto","NT AUTHORITY\NetworkService","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""SamSs""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""SamSs""","False","False","Security Accounts Manager","0","Win32_Service","False","The startup of this service signals other services that the Security Accounts Manager (SAM) is ready to accept requests.  Disabling this service will prevent other services in the system from being notified when the SAM is ready, which may in turn cause those services to fail to start correctly. This service should not be disabled.","False","Security Accounts Manager","Normal","0",,"SamSs","C:\Windows\system32\lsass.exe","616","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""Schedule""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""Schedule""","False","True","Task Scheduler","0","Win32_Service","False","Enables a user to configure and schedule automated tasks on this computer. The service also hosts multiple Windows system-critical tasks. If this service is stopped or disabled, these tasks will not be run at their scheduled times. If this service is disabled, any services that explicitly depend on it will fail to start.","False","Task Scheduler","Normal","0",,"Schedule","C:\Windows\system32\svchost.exe -k netsvcs -p","1552","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""SecurityHealthService""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""SecurityHealthService""","False","False","Windows Security Service","0","Win32_Service","False","Windows Security Service handles unified device protection and health information","False","Windows Security Service","Normal","0",,"SecurityHealthService","C:\Windows\system32\SecurityHealthService.exe","3676","0","Own Process","True","Manual","LocalSystem","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""SENS""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""SENS""","False","True","System Event Notification Service","0","Win32_Service","False","Monitors system events and notifies subscribers to COM+ Event System of these events.","False","System Event Notification Service","Normal","0",,"SENS","C:\Windows\system32\svchost.exe -k netsvcs -p","1516","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""SgrmBroker""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""SgrmBroker""","False","False","System Guard Runtime Monitor Broker","0","Win32_Service","True","Monitors and attests to the integrity of the Windows platform.","False","System Guard Runtime Monitor Broker","Normal","0",,"SgrmBroker","C:\Windows\system32\SgrmBroker.exe","4324","0","Own Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""ShellHWDetection""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""ShellHWDetection""","False","True","Shell Hardware Detection","0","Win32_Service","False","Provides notifications for AutoPlay hardware events.","False","Shell Hardware Detection","Ignore","0",,"ShellHWDetection","C:\Windows\System32\svchost.exe -k netsvcs -p","1980","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""Spooler""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""Spooler""","False","True","Print Spooler","0","Win32_Service","False","This service spools print jobs and handles interaction with the printer.  If you turn off this service, you won?t be able to print or see your printers.","True","Print Spooler","Normal","0",,"Spooler","C:\Windows\System32\spoolsv.exe","1788","0","Own Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""SSDPSRV""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""SSDPSRV""","False","True","SSDP Discovery","0","Win32_Service","False","Discovers networked devices and services that use the SSDP discovery protocol, such as UPnP devices. Also announces SSDP devices and services running on the local computer. If this service is stopped, SSDP-based devices will not be discovered. If this service is disabled, any services that explicitly depend on it will fail to start.","False","SSDP Discovery","Normal","0",,"SSDPSRV","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","3144","0","Share Process","True","Manual","NT AUTHORITY\LocalService","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""StateRepository""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""StateRepository""","False","True","State Repository Service","0","Win32_Service","False","Provides required infrastructure support for the application model.","False","State Repository Service","Normal","0",,"StateRepository","C:\Windows\system32\svchost.exe -k appmodel -p","632","0","Share Process","True","Manual","LocalSystem","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
